score;txt
1;Péssimo
1;Não gostei ! Comprei gato por lebre
1;Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.
1;Nada de chegar o meu pedido.
1;recebi somente 1 controle Midea Split ESTILO.
1;O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia.
1;Produto muito inferior, mal acabado.
1;Pedi reembolso e sem resposta até momento
1;Este foi o pedido
1;comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois
1;Não funciona não faz sincronismo
1;Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.
1;EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE
1;Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.
1;A peça não serviu
1;Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.
1;fiz minha compra faz 30 dias e não recebi ainda meu produto.
1;Faltou 1 produto e os que recebi 1 veio quebrado
1;aqui está descrevendo como entregue só que ate agora não recebi
1;Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!
1;Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.
1;Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor!
1;o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp...
1;produto deu defeito na 1 vez de uso.
1;até agora não recebi o produto.
1;A loja anuncia um produto e entrega outro.
1;produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação)
1;Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo.
1;Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado
1;o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei
